Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Log Work,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (# of Product Reopens),Custom field (# of QA Reopens),Custom field (Actual Completion Date),Custom field (Affected hardware),Custom field (Affected services),Custom field (Aha! Reference),Custom field (Approvals),Custom field (Approved By),Custom field (Approved By:),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Blocked for Dev Time),Custom field (Blocked for QA Time),Custom field (Brightidea Idea Link),Custom field (Brightidea link),Custom field (Bucket),Custom field (CD2 vs. Strategic),Custom field (Category),Custom field (Category),Custom field (CiD),Custom field (CiD Time),Custom field (CiP),Custom field (CiP Time),Custom field (CiT),Custom field (CiT Time),Custom field (Client),Custom field (Client),Custom field (Comments),Custom field (Contract Signature Date),Custom field (Contract Type),Custom field (Contracted Hours),Custom field (Creation Date),Custom field (Customer Release Notes Description),Custom field (Customer Success Manager),Custom field (Customer Type),Custom field (Date of hire),Custom field (Delivery Timeline Requirement),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Department),Custom field (Department),Custom field (Department),Custom field (Department),Custom field (Dependent On),Custom field (Deployment Mode),Custom field (Design Doc Required),Custom field (Design Story Points),Custom field (Designer),Custom field (Designer)Id,Custom field (Dev Ready),Custom field (Dev Ready Time),Custom field (Development),Custom field (Document URL),Custom field (Effort),Custom field (Effort),Custom field (End Date),Custom field (Epic Colour),Custom field (Epic Dependents),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Hours),Custom field (Expected Completion Date),Custom field (Feature),Custom field (Final LoE),Custom field (Focus Areas),Custom field (Functional & Sub-Functional Area(s)),Custom field (Goal impact),Custom field (Goals),Custom field (Hiring manager),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Impact),Custom field (Insights),Custom field (Insights impact),Custom field (Issue Category),Custom field (Issue Type),Custom field (Issue color),Custom field (Issues Caught by QA),Custom field (Job role),Custom field (Linked items),Custom field (Location),Custom field (Locked forms),Custom field (MSA),Custom field (Main Point of Contact),Custom field (Major incident),Custom field (Non-Recurring Automated Data Processing),Custom field (Non-Recurring Custom Reporting),Custom field (Non-Recurring Dedicated Database),Custom field (Non-Recurring Domain Masking),Custom field (Non-Recurring Employee Data Sync),Custom field (Non-Recurring Legacy Data Migration),Custom field (Non-Recurring Multi-Factor Authentication),Custom field (Non-Recurring Requirements Design),Custom field (Non-Recurring SSO),Custom field (Non-Recurring Software Development),Custom field (Non-Recurring TS Other),Custom field (Non-Recurring Third-Party Integration),Custom field (Non-Recurring White Label Mobile),Custom field (Non-Recurring White Label Web),Custom field (Not Met Accept Criteria),Custom field (Open forms),Custom field (Opp ACV),Custom field (Opp ARR),Custom field (Opp TCV),Custom field (Opportunity Open Date),Custom field (Original Story Point),Custom field (Pending reason),Custom field (Planned Closed Month),Custom field (Prioritized on behalf of),Custom field (Probability (%)),Custom field (Product Owner),Custom field (Product Owner)Id,Custom field (Product Story Points),Custom field (Productboard URL),Custom field (Production URL),Custom field (Project overview key),Custom field (Project overview status),Custom field (Proposal Batch),Custom field (Proposal Link),Custom field (Proposal Submission Date),Custom field (Public description),Custom field (QA),Custom field (QA)Id,Custom field (QA Automation Story Points),Custom field (QA Hours Spent),Custom field (QA Story Points),Custom field (QA Type),Custom field (Quarters),Custom field (Quick Quote: Annual (on renewal)),Custom field (Quick Quote: Year 1),Custom field (Rank),Custom field (Ready for LOE),Custom field (Recurring Automated Data Processing),Custom field (Recurring Custom Reporting),Custom field (Recurring Dedicated Database),Custom field (Recurring Domain Masking),Custom field (Recurring Employee Data Sync),Custom field (Recurring Legacy Data Migration),Custom field (Recurring Multi-Factor Authentication),Custom field (Recurring Requirements Design),Custom field (Recurring SSO),Custom field (Recurring Software Development),Custom field (Recurring TS Other),Custom field (Recurring Third-Party Integration),Custom field (Recurring White Label Mobile),Custom field (Recurring White Label Web),Custom field (Reference),Custom field (Regressed By),Custom field (Reopened),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Reviewee),Custom field (Roadmap),Custom field (Rollback Procedure),Custom field (Rollback Procedures:),Custom field (SF Account ID),Custom field (SOW),Custom field (Sales Agent),Custom field (Salesforce Contract),Custom field (Sandbox URL),Satisfaction rating,Custom field (Satisfaction date),Custom field (Scoping Call Date),Custom field (Score),Custom field (Score),Custom field (Sentiment),Custom field (Service Type),Custom field (Severity),Custom field (Short description),Custom field (Solution Level),Custom field (Source ),Sprint,Sprint,Sprint,Sprint,Custom field (Start Dev),Custom field (Start Dev Time),Custom field (Start Test Time),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subsequent Annual Maintenance),Custom field (System Type),Custom field (TS Total Annual Recurring Revenue),Custom field (TS Total Non-Recurring Revenue),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Area),Custom field (Test Cases LOE),Custom field (Test Script Name),Custom field (Testing Notes status),Custom field (Theme),Custom field (Time Spent),Custom field (Time in Status),Custom field (Time to close after resolution),Custom field (Time to done),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field (Year 1 Development),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Unable to Disable Phase Display in Scheduler,BPD-43272,93950,Bug,Deployed [Prod],BPD,Brightidea Product Development,software,Katlin Arps,606ddc72c040cd0069e1351c,,,Critical,,Chris Williams,557058:36a329d5-1dbc-4ed0-ab1f-6e9b9d776989,Zendesk Support for Jira,557058:a01b4872-0086-4bc3-903e-23f26637afa2,Zendesk Support for Jira,557058:a01b4872-0086-4bc3-903e-23f26637afa2,09/24/25 9:06 AM,10/09/25 6:09 AM,10/09/25 6:06 AM,,10-08-2025,,0,jira_escalated,Release_Notes,"Issue:
John Deere reports that when they go into the Hackathon Scheduler, click on an individual Phase, and try to disable the option to show that Phase in widgets and save, the Phase does not get disabled. If you click into it again, the check box is rechecked

Steps to Reproduce
1. Navigate to https://innovate.deere.com/FOCUSInnovationDay
2. Go to Site Setup > Scheduling
3. Click on any Phase in the Scheduler to edit
4. Uncheck the box for ""Display Phase in Widgets and Countdown""
5. Select Save Schedule
6. Click back into the same Phase after the modal closes
7. Notice that the box is rechecked

Additional Notes:
Support can replicate internally and in client's site.


        h3. Attachments


        [Untitled.png|https://brightidea.zendesk.com/attachments/token/bcIAPXpaN30uYuhRVQGzayHhp/?name=Untitled.png]


      ~* Please see Zendesk Support tab for further comments and attachments.~",,Zendesk Support for Jira,,,557058:a01b4872-0086-4bc3-903e-23f26637afa2,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2e51c0fd,,,,,,,,,,,,,,09/25/25 10:07 AM,,10/09/25 6:07 AM,10/09/25 12:00 AM,10/09/25 6:07 AM,,,,,,,,,,,,,,,,,,,,Regular Release,TBD,,,,,09/25/25 7:56 AM,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-09-29T12:14:28.000-0700"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Support,,Alex Thorpe,712020:81421233-0fce-4d75-8e45-9c46e545a0ee,1.0,,,,,,,,,Shefali Raje,557058:8988ab65-8b5e-4848-94b0-39b7d2d64add,,,1.0,,,,,0|i08ytf:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zen Desk,Winter '25 Sprint 1,Winter '25 Sprint 2,,,,09/25/25 7:57 AM,09/29/25 12:10 PM,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78745,BPD-33406,Support Tickets,Done,10/09/25 6:07 AM
Submission form not loading until refreshing the page,BPD-43262,93934,Bug,Deployed [Prod],BPD,Brightidea Product Development,software,Katlin Arps,606ddc72c040cd0069e1351c,,,Blocker,Fixed,Chris Williams,557058:36a329d5-1dbc-4ed0-ab1f-6e9b9d776989,Brian Wermerskirchen,602ed69a932cc2006999be9d,Zendesk Support for Jira,557058:a01b4872-0086-4bc3-903e-23f26637afa2,09/23/25 7:47 AM,10/09/25 6:09 AM,,09/23/25 2:08 PM,10-08-2025,,0,jira_escalated,Release_Notes,"On site https://sawater.brightidea.com/Floatthecustomersplash click Submit Idea in the navigation bar, the submission form is loading a blank page. Refreshing the page loads the submission form


        h3. Attachments


        [Picture1.jpg|https://brightidea.zendesk.com/attachments/token/LOBvBDWVrei1PMM5BrP3fAVdi/?name=Picture1.jpg]


      ~* Please see Zendesk Support tab for further comments and attachments.~",,Anna Imberti,Brian Wermerskirchen,Zendesk Support for Jira,557058:a50fad46-9b8e-4f47-bb2e-d4dcbe8d7374,602ed69a932cc2006999be9d,557058:a01b4872-0086-4bc3-903e-23f26637afa2,,,,,,,,,,,09/23/25 7:48 AM;ug:13a1544c-0724-4b09-ba9e-01296fee16f4;Screen Recording 2025-09-23 at 9.04.03 AM.mov;https://brightidea.jira.com/rest/api/3/attachment/content/90841,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2a1dab97,,,,,,,,,,,,,,09/23/25 2:05 PM,10/08/25 11:52 PM,10/08/25 4:52 PM,09/30/25 12:00 AM,09/30/25 11:39 AM,,,,,,,,,,,,,,,,,,,,Regular Release,TBD,,,,,09/23/25 2:03 PM,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=3}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":3,""lastUpdated"":""2025-09-30T07:11:39.000-0700"",""stateCount"":3,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":3,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Support,,,,0.0,,,,,,,,,Anna Imberti,557058:a50fad46-9b8e-4f47-bb2e-d4dcbe8d7374,,,2.0,,,,,0|i08yqz:,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Zen Desk,Winter '25 Sprint 1,,,,,09/23/25 2:04 PM,09/29/25 12:15 PM,,6.0,,,,,,,,,,,,,,,,1_*:*_1_*:*_22815314_*|*_6_*:*_1_*:*_0,,,,,,,,,,2025-09-30 18:38:46.773,1_*:*_1_*:*_22815314_*|*_6_*:*_1_*:*_0,09/23/25 7:48 AM;602ed69a932cc2006999be9d;Screen recording of the issue attached,09/23/25 2:08 PM;602ed69a932cc2006999be9d;Feliks fixed it with adding java script code to the footer HTML,"09/25/25 3:00 PM;602ed69a932cc2006999be9d;Reopening this as we have another report of this issue on [https://mainroads.brightidea.com/IdeaForumandWarehouse/submit|https://mainroads.brightidea.com/IdeaForumandWarehouse/submit]

I added the javascript and that fixed it but we need to investigate further as to what is the root cause of this without the code:

<!--SUBMISSION PAGE FIX-->
<script>
appendOnLoad(function(){
require(['BiIdeaApp']);setTimeout(function() {
require('BiIdeaApp').onStart();
}, 1000);
});
</script> ",09/30/25 11:38 AM;557058:a50fad46-9b8e-4f47-bb2e-d4dcbe8d7374;Verified in QA,,,,Done,10/08/25 4:52 PM
Request to Join Team text box not respecting character count limit,BPD-43242,93878,Bug,Deployed [Prod],BPD,Brightidea Product Development,software,Katlin Arps,606ddc72c040cd0069e1351c,,,Major,,Rob Goldstein,6025ca7941d0db006848ec28,Brian Wermerskirchen,602ed69a932cc2006999be9d,Zendesk Support for Jira,557058:a01b4872-0086-4bc3-903e-23f26637afa2,09/19/25 8:29 AM,10/09/25 6:09 AM,10/09/25 6:07 AM,,10-08-2025,,0,jira_escalated,Release_Notes,"On the Request to Join Team when entering text in the box there is a character limit of 500 characters but the system is allowing more than 500.




        h3. Attachments


        [image001.png|https://brightidea.zendesk.com/attachments/token/i2PxuctUXoN7ndD7RFSZzcMP3/?name=image001.png]


      ~* Please see Zendesk Support tab for further comments and attachments.~",,Adem Cooper,Brian Wermerskirchen,Zendesk Support for Jira,712020:332ba763-687b-43cf-afea-99cbb9211ff0,602ed69a932cc2006999be9d,557058:a01b4872-0086-4bc3-903e-23f26637afa2,time-tracking;09/30/25 3:26 PM;addon_is.origo.jira.tempo-plugin;1800,time-tracking;09/30/25 4:49 PM;addon_is.origo.jira.tempo-plugin;1800,,,3600,,,,3600,,09/19/25 8:29 AM;ug:13a1544c-0724-4b09-ba9e-01296fee16f4;Screen Recording 2025-09-19 at 10.21.25 AM.mov;https://brightidea.jira.com/rest/api/3/attachment/content/90809,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@508b5811,,,,,,,,,,,,,,09/26/25 1:12 PM,,10/09/25 6:08 AM,10/09/25 12:00 AM,10/09/25 6:08 AM,,,,,,,,,,,,,,,,,,,,Regular Release,TBD,,,,,09/25/25 10:09 AM,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-09-29T14:26:00.000-0700"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Support,,Alex Thorpe,712020:81421233-0fce-4d75-8e45-9c46e545a0ee,1.0,,,,,,,,,Adem Cooper,712020:332ba763-687b-43cf-afea-99cbb9211ff0,,,0.5,,,,,0|i08yln:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zen Desk,Winter '25 Sprint 1,Winter '25 Sprint 2,,,,09/25/25 10:49 AM,09/29/25 1:54 PM,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 22:26:02.781,,09/19/25 8:29 AM;602ed69a932cc2006999be9d;Screen recording showing the issue attached,"09/30/25 3:26 PM;712020:332ba763-687b-43cf-afea-99cbb9211ff0;Had trouble reproducing the issue
[https://brightidea.slack.com/archives/C048TQGPASJ/p1759271140544119|https://brightidea.slack.com/archives/C048TQGPASJ/p1759271140544119|smart-link] ","10/03/25 8:21 AM;712020:332ba763-687b-43cf-afea-99cbb9211ff0;Found in VI2, this is working well now. ",,78745,BPD-33406,Support Tickets,Done,10/09/25 6:08 AM
WB > AI > Organize w/ AI should work when other objects are selected ,BPD-43218,93835,Improvement,Closed,BPD,Brightidea Product Development,software,Katlin Arps,606ddc72c040cd0069e1351c,,,Critical,Fixed,Tobias Widlund,61605deb99b4b8006ad8e748,Miguel Haber,60f8765eecadb10069e8703a,Miguel Haber,60f8765eecadb10069e8703a,09/16/25 2:31 PM,10/01/25 4:15 PM,,10/01/25 4:15 PM,10-01-2025,,0,kanban-fall2025-fastfollow,Release_Notes,"We have gotten feedback on Organize w/ AI - [https://brightidea.slack.com/archives/C08JQL6LW9E/p1758053534438789|https://brightidea.slack.com/archives/C08JQL6LW9E/p1758053534438789|smart-link] - that if Text is selected with Stickies then Organize will not work. per MG “If text is selected ignore it and do not send to AI -- just send stickies”

h4. Acceptance Criteria 

# user selects multiple Stickies and other object types
# then user Right Clicks and selects “Organize”, “by X” (any option)
# allow users to Click on “Organize”, “by X” (any option)
## for the selected Stickies 
### duplicate
### organize by X
### add Text titles 
## for selected Non-Stickies
### do nothing with them ",,Anna Imberti,Miguel Haber,,557058:a50fad46-9b8e-4f47-bb2e-d4dcbe8d7374,60f8765eecadb10069e8703a,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@33bda014,,,,,,,,,,,,,,09/22/25 6:00 PM,10/01/25 11:14 PM,10/01/25 4:14 PM,09/30/25 12:00 AM,09/30/25 12:17 PM,,,,,,,,,,,,,,,,,,,,Regular Release,TBD,,,,,09/16/25 9:13 PM,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=2}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":2,""lastUpdated"":""2025-10-01T17:04:28.000-0700"",""stateCount"":2,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":2,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Whiteboard,,Miguel Haber,60f8765eecadb10069e8703a,2.0,,,,,,,,,Anna Imberti,557058:a50fad46-9b8e-4f47-bb2e-d4dcbe8d7374,,,1.0,,,,,0|hzzzyf:zy9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Fall '25 Sprint 7 (Release),Winter '25 Sprint 1,,,,09/21/25 8:25 PM,09/23/25 11:09 AM,,2.0,,,,,,,,,,,,,,,,10019_*:*_2_*:*_305612184_*|*_1_*:*_1_*:*_7626_*|*_11704_*:*_2_*:*_62997670_*|*_3_*:*_2_*:*_26990509_*|*_10757_*:*_1_*:*_27431565_*|*_10041_*:*_1_*:*_5551_*|*_11058_*:*_1_*:*_24097883_*|*_10035_*:*_1_*:*_172976659_*|*_10056_*:*_1_*:*_100631223_*|*_10257_*:*_1_*:*_522673063_*|*_11700_*:*_1_*:*_58750292_*|*_10259_*:*_1_*:*_0,,,,,,,,,,2025-09-24 18:05:53.464,10019_*:*_2_*:*_305612184_*|*_1_*:*_1_*:*_7626_*|*_11704_*:*_2_*:*_62997670_*|*_3_*:*_2_*:*_26990509_*|*_10757_*:*_1_*:*_27431565_*|*_10041_*:*_1_*:*_5551_*|*_11058_*:*_1_*:*_24097883_*|*_10035_*:*_1_*:*_172976659_*|*_10056_*:*_1_*:*_100631223_*|*_10257_*:*_1_*:*_522673063_*|*_11700_*:*_1_*:*_58750292_*|*_10259_*:*_1_*:*_0,09/24/25 11:05 AM;557058:a50fad46-9b8e-4f47-bb2e-d4dcbe8d7374;Verified in QA,,,,81037,BPD-34814,AI > Whiteboard ,Done,10/01/25 4:14 PM
"WB > AI > allow Build an App for Text, Long Form Docs",BPD-43205,93815,Improvement,Closed,BPD,Brightidea Product Development,software,Katlin Arps,606ddc72c040cd0069e1351c,,,Critical,Fixed,Tedmund Ho,619e5fa1f241500072b37097,Miguel Haber,60f8765eecadb10069e8703a,Miguel Haber,60f8765eecadb10069e8703a,09/16/25 9:14 AM,10/08/25 4:51 PM,,10/08/25 4:51 PM,10-08-2025,,0,kanban-fall2025-fastfollow,Release_Notes,"No that we have [https://brightidea.jira.com/browse/BPD-43143|https://brightidea.jira.com/browse/BPD-43143|smart-link]  working for Stickies we want to add the functionality for Text + Long Form Doc objects. We also want to remove the  option from RCM on all other objects 

h4. Acceptance Criteria 

# tie to toggle “Whiteboard: AI, Send to ChatGPT”
# Allow for the [https://brightidea.jira.com/browse/BPD-43143|https://brightidea.jira.com/browse/BPD-43143|smart-link]  functionality for single
## Sticky (done in first ticket)
## Text Object
## Long Form Doc
# Remove the RCM option of “Build an App” in the AI submenu from all other objects",,Miguel Haber,Tedmund Ho,,60f8765eecadb10069e8703a,619e5fa1f241500072b37097,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@74bbec07,,,,,,,,,,,,,,09/22/25 5:02 AM,10/08/25 11:51 PM,10/08/25 4:51 PM,10/06/25 12:00 AM,10/06/25 9:09 AM,,,,,,,,,,,,,,,,,,,,Regular Release,TBD,,,,,09/17/25 5:40 AM,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=2}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":2,""lastUpdated"":""2025-10-01T17:04:28.000-0700"",""stateCount"":2,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":2,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Whiteboard,,Miguel Haber,60f8765eecadb10069e8703a,2.0,,,,,,,,,Anna Imberti,557058:a50fad46-9b8e-4f47-bb2e-d4dcbe8d7374,,,2.0,,,,,0|hzzzyf:zyi,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Product,Fall '25 Sprint 7 (Release),Winter '25 Sprint 1,Winter '25 Sprint 2,,,09/18/25 6:34 AM,10/02/25 11:55 AM,,2.0,,,,,,,,,,,,,,,,10041_*:*_1_*:*_4619648_*|*_10019_*:*_1_*:*_43026239_*|*_1_*:*_1_*:*_8603_*|*_11704_*:*_2_*:*_630919060_*|*_3_*:*_1_*:*_297052477_*|*_10757_*:*_2_*:*_65442276_*|*_4_*:*_1_*:*_174383905_*|*_11058_*:*_1_*:*_73583423_*|*_10035_*:*_1_*:*_89614523_*|*_10056_*:*_1_*:*_200517618_*|*_10257_*:*_1_*:*_331007991_*|*_11700_*:*_2_*:*_18077458_*|*_10259_*:*_1_*:*_0,,,,,,,,,,2025-09-21 23:56:14.471,10041_*:*_1_*:*_4619648_*|*_10019_*:*_1_*:*_43026239_*|*_1_*:*_1_*:*_8603_*|*_11704_*:*_2_*:*_630919060_*|*_3_*:*_1_*:*_297052477_*|*_10757_*:*_2_*:*_65442276_*|*_4_*:*_1_*:*_174383905_*|*_11058_*:*_1_*:*_73583423_*|*_10035_*:*_1_*:*_89614523_*|*_10056_*:*_1_*:*_200517618_*|*_10257_*:*_1_*:*_331007991_*|*_11700_*:*_2_*:*_18077458_*|*_10259_*:*_1_*:*_0,"09/21/25 4:56 PM;619e5fa1f241500072b37097;Further clarifications with [~accountid:60f8765eecadb10069e8703a] :

* only show, and allow “Build an App” if ONE text object is selected
* disabled on:
** Table cells
** NNL/Stack cards
** Other non-text items",,,,81037,BPD-34814,AI > Whiteboard ,Done,10/08/25 4:51 PM
WB > AI > Update PRD width + Font Size + margins,BPD-43200,93809,Improvement,Closed,BPD,Brightidea Product Development,software,Katlin Arps,606ddc72c040cd0069e1351c,,,Critical,Fixed,Tobias Widlund,61605deb99b4b8006ad8e748,Miguel Haber,60f8765eecadb10069e8703a,Miguel Haber,60f8765eecadb10069e8703a,09/15/25 3:40 PM,10/01/25 4:14 PM,,10/01/25 4:14 PM,10-01-2025,,0,kanban-fall2025-fastfollow,Release_Notes,"In order to keep up with the latest thinking we want to update the designs - [https://brightidea.slack.com/archives/C08JQL6LW9E/p1757967555246539|https://brightidea.slack.com/archives/C08JQL6LW9E/p1757967555246539|smart-link] 

h4. Acceptance Criteria 

# Update the Long Form Doc width to 612px
# keep the margins at 72px
# update the font sizes to 10
# figma link for more details - [https://www.figma.com/design/ab5uTr9uvSyXOyJf2MbLmJ/WB-%3E-2025?node-id=1168-1423&t=aNzCOjri6hDdiJs6-1|https://www.figma.com/design/ab5uTr9uvSyXOyJf2MbLmJ/WB-%3E-2025?node-id=1168-1423&t=aNzCOjri6hDdiJs6-1|smart-link] ",,Anna Imberti,Miguel Haber,,557058:a50fad46-9b8e-4f47-bb2e-d4dcbe8d7374,60f8765eecadb10069e8703a,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@30019c13,,,,,,,,,,,,,,09/22/25 6:00 PM,10/01/25 11:13 PM,10/01/25 4:13 PM,09/30/25 12:00 AM,09/30/25 12:18 PM,,,,,,,,,,,,,,,,,,,,Regular Release,TBD,,Dustin Brentz,63038380bcb35371090ed54c,,09/17/25 3:16 PM,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-09-23T18:46:33.000-0700"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,Whiteboard,,Miguel Haber,60f8765eecadb10069e8703a,3.0,,,,,,,,,Anna Imberti,557058:a50fad46-9b8e-4f47-bb2e-d4dcbe8d7374,,,2.0,,,,,0|hzzzyf:zy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Product,Fall '25 Sprint 7 (Release),Winter '25 Sprint 1,,,,09/18/25 8:39 PM,09/23/25 11:08 AM,,3.0,,,,,,,,,,,,,,,,10041_*:*_1_*:*_2581_*|*_10019_*:*_1_*:*_333857894_*|*_1_*:*_1_*:*_6275_*|*_11704_*:*_1_*:*_61686930_*|*_3_*:*_2_*:*_70014056_*|*_10757_*:*_1_*:*_27520003_*|*_10010_*:*_1_*:*_91660301_*|*_11058_*:*_1_*:*_8715057_*|*_10035_*:*_2_*:*_108958054_*|*_10056_*:*_1_*:*_100510380_*|*_10257_*:*_1_*:*_523976687_*|*_11700_*:*_1_*:*_57511731_*|*_10259_*:*_1_*:*_0,,,,,,,,,,2025-09-24 17:44:49.476,10041_*:*_1_*:*_2581_*|*_10019_*:*_1_*:*_333857894_*|*_1_*:*_1_*:*_6275_*|*_11704_*:*_1_*:*_61686930_*|*_3_*:*_2_*:*_70014056_*|*_10757_*:*_1_*:*_27520003_*|*_10010_*:*_1_*:*_91660301_*|*_11058_*:*_1_*:*_8715057_*|*_10035_*:*_2_*:*_108958054_*|*_10056_*:*_1_*:*_100510380_*|*_10257_*:*_1_*:*_523976687_*|*_11700_*:*_1_*:*_57511731_*|*_10259_*:*_1_*:*_0,09/16/25 1:49 PM;60f8765eecadb10069e8703a;Pausing this ticket due to changing requirements. Will let you know when we are ready to ressume work with the proper design specs ,09/17/25 3:16 PM;60f8765eecadb10069e8703a;ok this ticket has been updated and can be resumed ,09/24/25 10:44 AM;557058:a50fad46-9b8e-4f47-bb2e-d4dcbe8d7374;verified in QA,,81037,BPD-34814,AI > Whiteboard ,Done,10/01/25 4:13 PM
